TOP,Nombre,Ingreso Total2021
1,CORPORACION FAVORITA C.A.,2178780982
2,CORPORACION EL ROSADO S.A.,1312957528
3,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.,1100177898
4,CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL,1018447207
5,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,972475109
6,ECUACORRIENTE S.A.,909045282
7,DINADEC S.A.,881752586
8,PRIMAX COMERCIAL DEL ECUADOR SOCIEDAD ANONIMA,879079270
9,DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE) S.A.,856706463
10,SHAYA ECUADOR S.A.,784355902
